stimulus_pair onset         duration      trial_type    trial_number  correct_response            response      response_time stim_file_left              stim_file_right             stim_type_left              stim_type_right
BD             264.951       2.5          Testing        112          2             D              0.89         stimuli/1.jpeg              stimuli/5.jpeg              B             D
AC             268.753       2.5          Testing        113          1             C              0.71         stimuli/6.jpeg              stimuli/3.jpeg              C             A
AD             273.954       2.5          Testing        114          2             A              1.336        stimuli/5.jpeg              stimuli/3.jpeg              D             A
CE             278.355       2.5          Testing        115          1             C              0.743        stimuli/6.jpeg              stimuli/2.jpeg              C             E
AC             283.157       2.5          Testing        116          1             C              1.817        stimuli/6.jpeg              stimuli/3.jpeg              C             A
AE             288.359       2.5          Testing        117          2             A              1.307        stimuli/2.jpeg              stimuli/3.jpeg              E             A
CF             294.16        2.5          Testing        118          1             C              1.859        stimuli/6.jpeg              stimuli/4.jpeg              C             F
BD             300.162       2.5          Testing        119          2             B              0.747        stimuli/5.jpeg              stimuli/1.jpeg              D             B
CF             304.564       2.5          Testing        120          2             F              0.98         stimuli/6.jpeg              stimuli/4.jpeg              C             F
BC             308.365       2.5          Testing        121          1             C              1.743        stimuli/6.jpeg              stimuli/1.jpeg              C             B
AC             313.566       2.5          Testing        122          2             A              1.502        stimuli/6.jpeg              stimuli/3.jpeg              C             A
BE             319.368       2.5          Testing        123          2             E              0.954        stimuli/1.jpeg              stimuli/2.jpeg              B             E
BD             325.37        2.5          Testing        124          2             D              1.315        stimuli/1.jpeg              stimuli/5.jpeg              B             D
CE             329.771       2.5          Testing        125          2             C              1.294        stimuli/2.jpeg              stimuli/6.jpeg              E             C
CF             334.573       2.5          Testing        126          2             C              1.691        stimuli/4.jpeg              stimuli/6.jpeg              F             C
AD             338.374       2.5          Testing        127          2             A              0.928        stimuli/5.jpeg              stimuli/3.jpeg              D             A
BC             343.576       2.5          Testing        128          1             B              1.37         stimuli/1.jpeg              stimuli/6.jpeg              B             C
BC             349.577       2.5          Testing        129          2             C              0.713        stimuli/1.jpeg              stimuli/6.jpeg              B             C
CE             353.379       2.5          Testing        130          1             C              1.5          stimuli/6.jpeg              stimuli/2.jpeg              C             E
DF             358.18        2.5          Testing        131          2             D              1.468        stimuli/4.jpeg              stimuli/5.jpeg              F             D
AC             363.982       2.5          Testing        132          1             A              0.844        stimuli/3.jpeg              stimuli/6.jpeg              A             C
AF             368.383       2.5          Testing        133          2             A              1.774        stimuli/4.jpeg              stimuli/3.jpeg              F             A
AE             373.585       2.5          Testing        134          1             A              0.851        stimuli/3.jpeg              stimuli/2.jpeg              A             E
BF             378.386       2.5          Testing        135          1             F              1.508        stimuli/4.jpeg              stimuli/1.jpeg              F             B
BD             382.788       2.5          Testing        136          1             D              1.127        stimuli/5.jpeg              stimuli/1.jpeg              D             B
AF             388.79        2.5          Testing        137          1             A              1.622        stimuli/3.jpeg              stimuli/4.jpeg              A             F
BD             392.591       2.5          Testing        138          2             D              1.712        stimuli/1.jpeg              stimuli/5.jpeg              B             D
BF             398.393       2.5          Testing        139          2             F              1.171        stimuli/1.jpeg              stimuli/4.jpeg              B             F
AD             403.594       2.5          Testing        140          2             A              1.328        stimuli/5.jpeg              stimuli/3.jpeg              D             A
BC             408.396       2.5          Testing        141          2             C              1.18         stimuli/1.jpeg              stimuli/6.jpeg              B             C
BC             412.797       2.5          Testing        142          1             C              1.492        stimuli/6.jpeg              stimuli/1.jpeg              C             B
BD             416.598       2.5          Testing        143          1             D              0.825        stimuli/5.jpeg              stimuli/1.jpeg              D             B
DF             422.4         2.5          Testing        144          2             D              1.828        stimuli/4.jpeg              stimuli/5.jpeg              F             D
BE             428.402       2.5          Testing        145          1             E              1.619        stimuli/2.jpeg              stimuli/1.jpeg              E             B
AE             432.203       2.5          Testing        146          1             A              1.837        stimuli/3.jpeg              stimuli/2.jpeg              A             E
AF             438.005       2.5          Testing        147          1             A              1.793        stimuli/3.jpeg              stimuli/4.jpeg              A             F
BF             442.406       2.5          Testing        148          1             F              1.733        stimuli/4.jpeg              stimuli/1.jpeg              F             B
DE             448.408       2.5          Testing        149          2             E              1.034        stimuli/5.jpeg              stimuli/2.jpeg              D             E
DF             453.61        2.5          Testing        150          2             D              0.73         stimuli/4.jpeg              stimuli/5.jpeg              F             D
BF             458.411       2.5          Testing        151          2             F              0.762        stimuli/1.jpeg              stimuli/4.jpeg              B             F
BF             462.212       2.5          Testing        152          2             F              0.659        stimuli/1.jpeg              stimuli/4.jpeg              B             F
BE             467.014       2.5          Testing        153          2             E              1.066        stimuli/1.jpeg              stimuli/2.jpeg              B             E
DE             473.016       2.5          Testing        154          1             E              1.695        stimuli/2.jpeg              stimuli/5.jpeg              E             D
AC             478.217       2.5          Testing        155          1             C              1.26         stimuli/6.jpeg              stimuli/3.jpeg              C             A
CF             482.619       2.5          Testing        156          2             F              0.816        stimuli/6.jpeg              stimuli/4.jpeg              C             F
CF             488.421       2.5          Testing        157          2             C              0.651        stimuli/4.jpeg              stimuli/6.jpeg              F             C
AF             493.622       2.5          Testing        158          2             A              1.721        stimuli/4.jpeg              stimuli/3.jpeg              F             A
AE             499.624       2.5          Testing        159          1             A              1.649        stimuli/3.jpeg              stimuli/2.jpeg              A             E
AD             505.426       2.5          Testing        160          1             A              1.673        stimuli/3.jpeg              stimuli/5.jpeg              A             D
BF             510.227       2.5          Testing        161          2             F              1.552        stimuli/1.jpeg              stimuli/4.jpeg              B             F
BF             514.629       2.5          Testing        162          1             F              0.671        stimuli/4.jpeg              stimuli/1.jpeg              F             B
AE             518.43        2.5          Testing        163          2             A              0.936        stimuli/2.jpeg              stimuli/3.jpeg              E             A
BC             523.231       2.5          Testing        164          1             C              0.628        stimuli/6.jpeg              stimuli/1.jpeg              C             B
