stimulus_pair onset         duration      trial_type    trial_number  correct_response            response      response_time stim_file_left              stim_file_right             stim_type_left              stim_type_right             feedback      feedback_onset              feedback_duration
AB             274.754       2.5          Training       44           A             A              1.016        stimuli/3.jpeg              stimuli/2.jpeg              A             B             correct        277.488       1 
CD             280.356       2.5          Training       45           C             C              0.685        stimuli/1.jpeg              stimuli/5.jpeg              C             D             correct        283.09        1 
AB             287.358       2.5          Training       46           A             A              1.809        stimuli/2.jpeg              stimuli/3.jpeg              B             A             correct        290.092       1 
CD             293.76        2.5          Training       47           C             C              1.858        stimuli/1.jpeg              stimuli/5.jpeg              C             D             correct        296.494       1 
EF             300.962       2.5          Training       48           F             F              1.567        stimuli/4.jpeg              stimuli/6.jpeg              F             E             correct        303.696       1 
EF             305.963       2.5          Training       49           E             E              1.126        stimuli/4.jpeg              stimuli/6.jpeg              F             E             correct        308.698       1 
EF             312.966       2.5          Training       50           F             F              1.142        stimuli/6.jpeg              stimuli/4.jpeg              E             F             correct        315.7         1 
CD             318.967       2.5          Training       51           D             D              0.815        stimuli/5.jpeg              stimuli/1.jpeg              D             C             correct        321.702       1 
AB             325.369       2.5          Training       52           A             B              1.365        stimuli/2.jpeg              stimuli/3.jpeg              B             A             wrong          328.104       1 
EF             332.572       2.5          Training       53           E             E              1.656        stimuli/6.jpeg              stimuli/4.jpeg              E             F             correct        335.306       1 
CD             338.173       2.5          Training       54           D             D              1.282        stimuli/5.jpeg              stimuli/1.jpeg              D             C             correct        340.908       1 
AB             343.175       2.5          Training       55           A             A              1.05         stimuli/3.jpeg              stimuli/2.jpeg              A             B             correct        345.909       1 
CD             348.777       2.5          Training       56           C             C              1.21         stimuli/1.jpeg              stimuli/5.jpeg              C             D             correct        351.511       1 
EF             355.179       2.5          Training       57           E             E              1.385        stimuli/6.jpeg              stimuli/4.jpeg              E             F             correct        357.913       1 
CD             361.18        2.5          Training       58           C             C              1.632        stimuli/5.jpeg              stimuli/1.jpeg              D             C             correct        363.915       1 
CD             366.182       2.5          Training       59           D             D              0.994        stimuli/1.jpeg              stimuli/5.jpeg              C             D             correct        368.916       1 
CD             373.184       2.5          Training       60           C             C              1.213        stimuli/5.jpeg              stimuli/1.jpeg              D             C             correct        375.918       1 
