stimulus_pair onset         duration      trial_type    trial_number  correct_response            response      response_time stim_file_left              stim_file_right             stim_type_left              stim_type_right             feedback      feedback_onset              feedback_duration
EF             8.069         2.5          Training       1            F             n/a            0            stim/5.jpeg   stim/4.jpeg   E             F             noresponse     10.62         1 
EF             12.687        2.5          Training       2            E             n/a            0            stim/4.jpeg   stim/5.jpeg   F             E             noresponse     15.238        1 
CD             18.322        2.5          Training       3            D             n/a            0            stim/2.jpeg   stim/3.jpeg   D             C             noresponse     20.873        1 
AB             24.957        2.5          Training       4            A             n/a            0            stim/6.jpeg   stim/1.jpeg   A             B             noresponse     27.508        1 
AB             30.176        2.5          Training       5            B             n/a            0            stim/1.jpeg   stim/6.jpeg   B             A             noresponse     32.726        1 
AB             36.994        2.5          Training       6            A             n/a            0            stim/6.jpeg   stim/1.jpeg   A             B             noresponse     39.545        1 
AB             43.013        2.5          Training       7            A             n/a            0            stim/6.jpeg   stim/1.jpeg   A             B             noresponse     45.564        1 
EF             48.631        2.5          Training       8            E             n/a            0            stim/5.jpeg   stim/4.jpeg   E             F             noresponse     51.182        1 
AB             55.45         2.5          Training       9            A             n/a            0            stim/6.jpeg   stim/1.jpeg   A             B             noresponse     58.001        1 
EF             60.068        2.5          Training       10           E             n/a            0            stim/5.jpeg   stim/4.jpeg   E             F             noresponse     62.619        1 
AB             66.687        2.5          Training       11           B             n/a            0            stim/1.jpeg   stim/6.jpeg   B             A             noresponse     69.238        1 
EF             72.706        2.5          Training       12           E             n/a            0            stim/4.jpeg   stim/5.jpeg   F             E             noresponse     75.256        1 
EF             77.924        2.5          Training       13           E             n/a            0            stim/4.jpeg   stim/5.jpeg   F             E             noresponse     80.475        1 
EF             84.543        2.5          Training       14           E             n/a            0            stim/5.jpeg   stim/4.jpeg   E             F             noresponse     87.093        1 
EF             89.161        2.5          Training       15           E             n/a            0            stim/5.jpeg   stim/4.jpeg   E             F             noresponse     91.711        1 
AB             95.179        2.5          Training       16           A             n/a            0            stim/6.jpeg   stim/1.jpeg   A             B             noresponse     97.73         1 
AB             100.798       2.5          Training       17           A             n/a            0            stim/1.jpeg   stim/6.jpeg   B             A             noresponse     103.348       1 
EF             106.016       2.5          Training       18           F             n/a            0            stim/5.jpeg   stim/4.jpeg   E             F             noresponse     108.567       1 
CD             112.835       2.5          Training       19           C             n/a            0            stim/3.jpeg   stim/2.jpeg   C             D             noresponse     115.385       1 
CD             118.053       2.5          Training       20           D             n/a            0            stim/2.jpeg   stim/3.jpeg   D             C             noresponse     120.604       1 
EF             124.872       2.5          Training       21           E             n/a            0            stim/5.jpeg   stim/4.jpeg   E             F             noresponse     127.422       1 
CD             131.49        2.5          Training       22           D             n/a            0            stim/3.jpeg   stim/2.jpeg   C             D             noresponse     134.041       1 
AB             136.109       2.5          Training       23           A             n/a            0            stim/1.jpeg   stim/6.jpeg   B             A             noresponse     138.659       1 
CD             141.727       2.5          Training       24           C             n/a            0            stim/3.jpeg   stim/2.jpeg   C             D             noresponse     144.278       1 
EF             147.745       2.5          Training       25           F             n/a            0            stim/5.jpeg   stim/4.jpeg   E             F             noresponse     150.296       1 
EF             152.964       2.5          Training       26           E             n/a            0            stim/5.jpeg   stim/4.jpeg   E             F             noresponse     155.515       1 
CD             159.782       2.5          Training       27           C             n/a            0            stim/2.jpeg   stim/3.jpeg   D             C             noresponse     162.333       1 
CD             166.401       2.5          Training       28           D             n/a            0            stim/3.jpeg   stim/2.jpeg   C             D             noresponse     168.952       1 
AB             171.019       2.5          Training       29           A             n/a            0            stim/1.jpeg   stim/6.jpeg   B             A             noresponse     173.57        1 
CD             176.638       2.5          Training       30           C             n/a            0            stim/2.jpeg   stim/3.jpeg   D             C             noresponse     179.189       1 
EF             182.656       2.5          Training       31           F             n/a            0            stim/5.jpeg   stim/4.jpeg   E             F             noresponse     185.207       1 
CD             187.875       2.5          Training       32           C             n/a            0            stim/2.jpeg   stim/3.jpeg   D             C             noresponse     190.425       1 
CD             194.493       2.5          Training       33           C             n/a            0            stim/3.jpeg   stim/2.jpeg   C             D             noresponse     197.044       1 
CD             199.111       2.5          Training       34           C             n/a            0            stim/3.jpeg   stim/2.jpeg   C             D             noresponse     201.662       1 
EF             204.73        2.5          Training       35           E             n/a            0            stim/4.jpeg   stim/5.jpeg   F             E             noresponse     207.281       1 
AB             211.549       2.5          Training       36           A             n/a            0            stim/1.jpeg   stim/6.jpeg   B             A             noresponse     214.099       1 
CD             217.567       2.5          Training       37           D             n/a            0            stim/2.jpeg   stim/3.jpeg   D             C             noresponse     220.118       1 
CD             224.186       2.5          Training       38           C             n/a            0            stim/2.jpeg   stim/3.jpeg   D             C             noresponse     226.737       1 
