stimulus_pair onset         duration      trial_type    trial_number  correct_response            response      response_time stim_file_left              stim_file_right             stim_type_left              stim_type_right             feedback      feedback_onset              feedback_duration
CD             8.079         2.5          Training       1            C             n/a            0            stim/3.jpeg   stim/4.jpeg   D             C             noresponse     10.63         1 
AB             14.698        2.5          Training       2            A             n/a            0            stim/1.jpeg   stim/5.jpeg   B             A             noresponse     17.249        1 
AB             21.517        2.5          Training       3            A             n/a            0            stim/1.jpeg   stim/5.jpeg   B             A             noresponse     24.068        1 
CD             26.735        2.5          Training       4            D             n/a            0            stim/3.jpeg   stim/4.jpeg   D             C             noresponse     29.286        1 
AB             31.353        2.5          Training       5            A             n/a            0            stim/5.jpeg   stim/1.jpeg   A             B             noresponse     33.904        1 
AB             37.372        2.5          Training       6            B             n/a            0            stim/1.jpeg   stim/5.jpeg   B             A             noresponse     39.922        1 
EF             42.99         2.5          Training       7            E             n/a            0            stim/6.jpeg   stim/2.jpeg   E             F             noresponse     45.541        1 
EF             49.809        2.5          Training       8            E             n/a            0            stim/6.jpeg   stim/2.jpeg   E             F             noresponse     52.36         1 
CD             54.427        2.5          Training       9            C             n/a            0            stim/4.jpeg   stim/3.jpeg   C             D             noresponse     56.978        1 
AB             61.046        2.5          Training       10           A             n/a            0            stim/1.jpeg   stim/5.jpeg   B             A             noresponse     63.596        1 
AB             67.064        2.5          Training       11           A             n/a            0            stim/5.jpeg   stim/1.jpeg   A             B             noresponse     69.615        1 
EF             72.683        2.5          Training       12           E             n/a            0            stim/6.jpeg   stim/2.jpeg   E             F             noresponse     75.233        1 
CD             77.901        2.5          Training       13           D             n/a            0            stim/3.jpeg   stim/4.jpeg   D             C             noresponse     80.452        1 
EF             83.919        2.5          Training       14           F             n/a            0            stim/2.jpeg   stim/6.jpeg   F             E             noresponse     86.47         1 
EF             88.538        2.5          Training       15           F             n/a            0            stim/6.jpeg   stim/2.jpeg   E             F             noresponse     91.088        1 
AB             93.756        2.5          Training       16           B             n/a            0            stim/5.jpeg   stim/1.jpeg   A             B             noresponse     96.307        1 
CD             100.375       2.5          Training       17           C             n/a            0            stim/4.jpeg   stim/3.jpeg   C             D             noresponse     102.925       1 
AB             107.193       2.5          Training       18           A             n/a            0            stim/5.jpeg   stim/1.jpeg   A             B             noresponse     109.744       1 
