stimulus_pair onset         duration      trial_type    trial_number  correct_response            response      response_time stim_file_left              stim_file_right             stim_type_left              stim_type_right
BC             275.923       2.5          Testing        117                        n/a            0            stim/3.jpeg   stim/6.jpeg   B             C
AE             281.701       2.5          Testing        118                        n/a            0            stim/5.jpeg   stim/2.jpeg   A             E
AD             287.295       2.5          Testing        119                        n/a            0            stim/1.jpeg   stim/5.jpeg   D             A
AE             291.891       2.5          Testing        120                        n/a            0            stim/5.jpeg   stim/2.jpeg   A             E
AC             296.07        2.5          Testing        121                        n/a            0            stim/6.jpeg   stim/5.jpeg   C             A
CF             299.667       2.5          Testing        122                        n/a            0            stim/4.jpeg   stim/6.jpeg   F             C
AC             303.829       2.5          Testing        123                        n/a            0            stim/6.jpeg   stim/5.jpeg   C             A
AF             308.824       2.5          Testing        124                        n/a            0            stim/4.jpeg   stim/5.jpeg   F             A
BD             313.403       2.5          Testing        125                        n/a            0            stim/3.jpeg   stim/1.jpeg   B             D
BF             319.181       2.5          Testing        126                        n/a            0            stim/3.jpeg   stim/4.jpeg   B             F
BF             324.775       2.5          Testing        127                        n/a            0            stim/4.jpeg   stim/3.jpeg   F             B
DF             329.754       2.5          Testing        128                        n/a            0            stim/1.jpeg   stim/4.jpeg   D             F
BF             335.548       2.5          Testing        129                        n/a            0            stim/4.jpeg   stim/3.jpeg   F             B
DE             339.727       2.5          Testing        130                        n/a            0            stim/1.jpeg   stim/2.jpeg   D             E
BD             344.323       2.5          Testing        131                        n/a            0            stim/3.jpeg   stim/1.jpeg   B             D
CF             349.901       2.5          Testing        132                        n/a            0            stim/6.jpeg   stim/4.jpeg   C             F
BC             353.497       2.5          Testing        133                        n/a            0            stim/3.jpeg   stim/6.jpeg   B             C
AF             358.076       2.5          Testing        134                        n/a            0            stim/5.jpeg   stim/4.jpeg   A             F
BD             363.671       2.5          Testing        135                        n/a            0            stim/1.jpeg   stim/3.jpeg   D             B
BC             369.465       2.5          Testing        136                        n/a            0            stim/6.jpeg   stim/3.jpeg   C             B
AC             373.028       2.5          Testing        137                        n/a            0            stim/5.jpeg   stim/6.jpeg   A             C
AE             377.224       2.5          Testing        138                        n/a            0            stim/5.jpeg   stim/2.jpeg   A             E
CF             382.219       2.5          Testing        139                        n/a            0            stim/6.jpeg   stim/4.jpeg   C             F
CF             386.398       2.5          Testing        140                        n/a            0            stim/6.jpeg   stim/4.jpeg   C             F
DE             391.993       2.5          Testing        141                        n/a            0            stim/2.jpeg   stim/1.jpeg   E             D
BE             395.556       2.5          Testing        142                        n/a            0            stim/2.jpeg   stim/3.jpeg   E             B
BC             400.151       2.5          Testing        143                        n/a            0            stim/6.jpeg   stim/3.jpeg   C             B
AC             405.929       2.5          Testing        144                        n/a            0            stim/5.jpeg   stim/6.jpeg   A             C
BF             410.924       2.5          Testing        145                        n/a            0            stim/3.jpeg   stim/4.jpeg   B             F
AD             414.521       2.5          Testing        146                        n/a            0            stim/5.jpeg   stim/1.jpeg   A             D
BE             419.516       2.5          Testing        147                        n/a            0            stim/3.jpeg   stim/2.jpeg   B             E
DE             425.31        2.5          Testing        148                        n/a            0            stim/2.jpeg   stim/1.jpeg   E             D
BE             430.905       2.5          Testing        149                        n/a            0            stim/2.jpeg   stim/3.jpeg   E             B
CE             435.1         2.5          Testing        150                        n/a            0            stim/6.jpeg   stim/2.jpeg   C             E
BD             439.696       2.5          Testing        151                        n/a            0            stim/1.jpeg   stim/3.jpeg   D             B
AE             445.29        2.5          Testing        152                        n/a            0            stim/2.jpeg   stim/5.jpeg   E             A
AD             450.286       2.5          Testing        153                        n/a            0            stim/5.jpeg   stim/1.jpeg   A             D
