stimulus_pair onset         duration      trial_type    trial_number  correct_response            response      response_time stim_file_left              stim_file_right             stim_type_left              stim_type_right             feedback      feedback_onset              feedback_duration
CD             271.107       2.5          Training       46           C             n/a            0            stim/1.jpeg   stim/6.jpeg   D             C             noresponse     273.655       1 
EF             276.735       2.5          Training       47           E             n/a            0            stim/2.jpeg   stim/4.jpeg   E             F             noresponse     279.282       1 
EF             283.562       2.5          Training       48           E             n/a            0            stim/2.jpeg   stim/4.jpeg   E             F             noresponse     286.109       1 
AB             288.19        2.5          Training       49           A             n/a            0            stim/3.jpeg   stim/5.jpeg   B             A             noresponse     290.738       1 
AB             293.835       2.5          Training       50           A             n/a            0            stim/3.jpeg   stim/5.jpeg   B             A             noresponse     296.382       1 
AB             300.462       2.5          Training       51           A             n/a            0            stim/5.jpeg   stim/3.jpeg   A             B             noresponse     303.009       1 
EF             307.288       2.5          Training       52           F             n/a            0            stim/4.jpeg   stim/2.jpeg   F             E             noresponse     309.836       1 
CD             313.665       2.5          Training       53           C             n/a            0            stim/6.jpeg   stim/1.jpeg   C             D             noresponse     316.213       1 
EF             318.894       2.5          Training       54           F             n/a            0            stim/2.jpeg   stim/4.jpeg   E             F             noresponse     321.441       1 
CD             323.522       2.5          Training       55           D             n/a            0            stim/1.jpeg   stim/6.jpeg   D             C             noresponse     326.07        1 
CD             329.15        2.5          Training       56           C             n/a            0            stim/6.jpeg   stim/1.jpeg   C             D             noresponse     331.698       1 
CD             334.378       2.5          Training       57           D             n/a            0            stim/1.jpeg   stim/6.jpeg   D             C             noresponse     336.926       1 
AB             341.222       2.5          Training       58           A             n/a            0            stim/3.jpeg   stim/5.jpeg   B             A             noresponse     343.769       1 
AB             345.85        2.5          Training       59           A             n/a            0            stim/5.jpeg   stim/3.jpeg   A             B             noresponse     348.398       1 
AB             351.878       2.5          Training       60           A             n/a            0            stim/3.jpeg   stim/5.jpeg   B             A             noresponse     354.425       1 
