stimulus_pair onset         duration      trial_type    trial_number  correct_response            response      response_time stim_file_left              stim_file_right             stim_type_left              stim_type_right
BC             319.204       2.5          Testing        126                        n/a            0            stim/1.jpeg   stim/3.jpeg   B             C
AD             322.772       2.5          Testing        127                        n/a            0            stim/6.jpeg   stim/2.jpeg   A             D
DF             327.34        2.5          Testing        128                        n/a            0            stim/4.jpeg   stim/2.jpeg   F             D
AD             332.308       2.5          Testing        129                        n/a            0            stim/2.jpeg   stim/6.jpeg   D             A
AE             337.877       2.5          Testing        130                        n/a            0            stim/6.jpeg   stim/5.jpeg   A             E
BF             343.645       2.5          Testing        131                        n/a            0            stim/4.jpeg   stim/1.jpeg   F             B
AE             347.213       2.5          Testing        132                        n/a            0            stim/5.jpeg   stim/6.jpeg   E             A
CE             351.381       2.5          Testing        133                        n/a            0            stim/3.jpeg   stim/5.jpeg   C             E
AC             356.949       2.5          Testing        134                        n/a            0            stim/3.jpeg   stim/6.jpeg   C             A
DF             361.117       2.5          Testing        135                        n/a            0            stim/2.jpeg   stim/4.jpeg   D             F
BD             366.085       2.5          Testing        136                        n/a            0            stim/1.jpeg   stim/2.jpeg   B             D
BC             371.854       2.5          Testing        137                        n/a            0            stim/1.jpeg   stim/3.jpeg   B             C
DE             376.422       2.5          Testing        138                        n/a            0            stim/5.jpeg   stim/2.jpeg   E             D
BD             379.99        2.5          Testing        139                        n/a            0            stim/1.jpeg   stim/2.jpeg   B             D
BE             385.758       2.5          Testing        140                        n/a            0            stim/5.jpeg   stim/1.jpeg   E             B
AC             390.326       2.5          Testing        141                        n/a            0            stim/3.jpeg   stim/6.jpeg   C             A
BD             394.494       2.5          Testing        142                        n/a            0            stim/1.jpeg   stim/2.jpeg   B             D
CF             400.062       2.5          Testing        143                        n/a            0            stim/4.jpeg   stim/3.jpeg   F             C
BE             403.63        2.5          Testing        144                        n/a            0            stim/1.jpeg   stim/5.jpeg   B             E
BC             408.598       2.5          Testing        145                        n/a            0            stim/1.jpeg   stim/3.jpeg   B             C
AE             414.367       2.5          Testing        146                        n/a            0            stim/5.jpeg   stim/6.jpeg   E             A
BD             417.935       2.5          Testing        147                        n/a            0            stim/1.jpeg   stim/2.jpeg   B             D
DE             422.903       2.5          Testing        148                        n/a            0            stim/5.jpeg   stim/2.jpeg   E             D
AD             427.071       2.5          Testing        149                        n/a            0            stim/2.jpeg   stim/6.jpeg   D             A
BD             432.639       2.5          Testing        150                        n/a            0            stim/1.jpeg   stim/2.jpeg   B             D
BE             437.207       2.5          Testing        151                        n/a            0            stim/1.jpeg   stim/5.jpeg   B             E
AD             442.175       2.5          Testing        152                        n/a            0            stim/2.jpeg   stim/6.jpeg   D             A
AF             447.944       2.5          Testing        153                        n/a            0            stim/6.jpeg   stim/4.jpeg   A             F
AC             452.512       2.5          Testing        154                        n/a            0            stim/6.jpeg   stim/3.jpeg   A             C
BF             456.08        2.5          Testing        155                        n/a            0            stim/4.jpeg   stim/1.jpeg   F             B
AC             460.248       2.5          Testing        156                        n/a            0            stim/3.jpeg   stim/6.jpeg   C             A
CE             465.816       2.5          Testing        157                        n/a            0            stim/5.jpeg   stim/3.jpeg   E             C
BF             469.984       2.5          Testing        158                        n/a            0            stim/1.jpeg   stim/4.jpeg   B             F
DF             474.952       2.5          Testing        159                        n/a            0            stim/4.jpeg   stim/2.jpeg   F             D
AD             480.721       2.5          Testing        160                        n/a            0            stim/6.jpeg   stim/2.jpeg   A             D
CF             486.289       2.5          Testing        161                        n/a            0            stim/3.jpeg   stim/4.jpeg   C             F
AF             490.857       2.5          Testing        162                        n/a            0            stim/4.jpeg   stim/6.jpeg   F             A
BC             494.425       2.5          Testing        163                        n/a            0            stim/3.jpeg   stim/1.jpeg   C             B
DF             498.593       2.5          Testing        164                        n/a            0            stim/4.jpeg   stim/2.jpeg   F             D
